Frame ID,QR id,QR 2D,QR 3D
311,8,"[[645.  49.], [697.  49.], [691. 110.], [640. 108.]]","[0.8454494332774537, 12.844201882424983, -16.596693060944684, 0]"
312,8,"[[671.  49.], [724.  48.], [717. 111.], [665. 109.]]","[0.8283387144873121, 14.388476956327452, -16.589558235804983, 0]"
313,8,"[[692.  52.], [746.  54.], [737. 119.], [684. 113.]]","[0.8104695196294188, 15.590758099246244, -16.28870309148151, 0]"
314,8,"[[711.  59.], [767.  61.], [756. 127.], [701. 121.]]","[0.79661820153497, 16.692889742645235, -15.859991215471236, 0]"
316,1,"[[ 99. 110.], [124. 110.], [125. 132.], [101. 133.]]","[2.193256610340193, -20.56833770659958, -14.033686941209952, 0]"
317,1,"[[134. 117.], [159. 120.], [157. 142.], [134. 141.]]","[2.1711525105221146, -18.731860699719476, -13.527199366691997, 0]"
318,1,"[[141. 122.], [167. 123.], [167. 145.], [143. 146.]]","[2.0943244343886462, -18.262289727861997, -13.291599819598893, 0]"
319,1,"[[151. 121.], [177. 122.], [176. 144.], [152. 145.]]","[2.05442730335532, -17.732410908915227, -13.351737107549567, 0]"
320,1,"[[163. 120.], [191. 121.], [189. 143.], [164. 142.]]","[1.9551283106747115, -17.017003398831633, -13.440603833470151, 0]"
322,1,"[[201. 128.], [227. 128.], [226. 150.], [204. 150.]]","[2.1069562244389144, -14.864486426656583, -13.002543049542874, 0]"
323,1,"[[210. 117.], [234. 118.], [233. 141.], [210. 141.]]","[2.073695057387431, -14.442624481075796, -13.580735500432684, 0]"
324,1,"[[217. 118.], [242. 121.], [240. 144.], [217. 143.]]","[2.056999280749948, -14.022043767336186, -13.449268307804436, 0]"
325,1,"[[283. 142.], [309. 143.], [308. 168.], [283. 167.]]","[1.901037217733212, -10.074056506730159, -12.056218954874959, 0]"
326,1,"[[304. 159.], [335. 161.], [334. 189.], [306. 187.]]","[1.608617242093385, -8.629001643363722, -10.914302831145294, 0]"
327,1,"[[317. 177.], [346. 178.], [345. 208.], [316. 206.]]","[1.6101714188950618, -7.948140328702976, -9.816617497084305, 0]"
328,1,"[[325. 178.], [354. 181.], [353. 210.], [324. 207.]]","[1.602309457982632, -7.455039035589408, -9.712745096662367, 0]"
329,1,"[[342. 183.], [372. 184.], [370. 214.], [343. 213.]]","[1.6502643899909535, -6.375536963239341, -9.439117367992962, 0]"
330,1,"[[355. 180.], [385. 181.], [383. 211.], [355. 209.]]","[1.6014533075056545, -5.593002953320109, -9.636025190175232, 0]"
331,1,"[[355. 171.], [385. 172.], [383. 202.], [355. 201.]]","[1.626793537278114, -5.58905146130607, -10.167396090798022, 0]"
332,1,"[[352. 168.], [383. 169.], [381. 200.], [352. 199.]]","[1.5748637568735195, -5.742328007361181, -10.318342238821337, 0]"
333,1,"[[354. 174.], [385. 176.], [383. 207.], [354. 205.]]","[1.525504711448666, -5.624375096617342, -9.923347168936997, 0]"
334,1,"[[359. 179.], [391. 180.], [389. 212.], [360. 210.]]","[1.4971121452210812, -5.271154895140398, -9.635182336316484, 0]"
335,1,"[[384. 187.], [417. 189.], [415. 223.], [383. 221.]]","[1.3828374295504218, -3.7301918196819486, -9.044627466709874, 0]"
336,1,"[[443. 210.], [483. 212.], [481. 254.], [443. 252.]]","[1.10749400510351, 0.15880017962268766, -7.3956657585219165, 0]"
337,1,"[[461. 209.], [501. 212.], [499. 255.], [461. 251.]]","[1.084231066663391, 1.2779956908456427, -7.4109704043676325, 0]"
338,1,"[[482. 203.], [524. 204.], [520. 249.], [482. 244.]]","[1.0785932032792473, 2.617789192155243, -7.829850475876417, 0]"
339,1,"[[494. 186.], [535. 188.], [534. 232.], [493. 229.]]","[1.0714669185179853, 3.367685688360922, -8.8255324387793, 0]"
340,1,"[[492. 175.], [534. 177.], [531. 222.], [490. 219.]]","[1.0563274863737362, 3.2289116317854507, -9.468334816402068, 0]"
341,1,"[[487. 173.], [529. 175.], [526. 221.], [484. 218.]]","[1.0330504534545204, 2.901337938302248, -9.559667533753993, 0]"
342,1,"[[484. 176.], [527. 180.], [524. 226.], [481. 223.]]","[1.008285528576369, 2.768582294051072, -9.284614848567482, 0]"
343,1,"[[485. 182.], [528. 185.], [526. 233.], [483. 229.]]","[0.9838053458745968, 2.8348359205843394, -8.915758411760041, 0]"
344,1,"[[488. 189.], [532. 191.], [529. 240.], [486. 236.]]","[0.9735564100328595, 3.0356281652512678, -8.50509883845704, 0]"
